experiment_name,experiment_label,model_name,bin_index,bin_lower,bin_upper,sample_count,mean_predicted_probability,observed_degradation_fraction
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",xgboost,4,0.30000000000000004,0.4,418,0.3501368591374758,0.2942583732057416
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",xgboost,5,0.4,0.5,403,0.44340702839583973,0.4044665012406948
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",xgboost,6,0.5,0.6000000000000001,253,0.5517029950741251,0.5375494071146245
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",xgboost,7,0.6000000000000001,0.7000000000000001,313,0.6534274578475343,0.731629392971246
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",xgboost,8,0.7000000000000001,0.8,327,0.7509384461499136,0.8042813455657493
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",xgboost,9,0.8,0.9,514,0.8576196524883523,0.9299610894941635
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",xgboost,10,0.9,1.0,3410,0.9760062440749138,0.9950146627565982
temporal_holdout,Session-preserving time-ordered holdout,knn,1,0.0,0.1,2220,0.0,0.016216216216216217
temporal_holdout,Session-preserving time-ordered holdout,knn,2,0.1,0.2,978,0.14225832826095464,0.08384458077709611
temporal_holdout,Session-preserving time-ordered holdout,knn,3,0.2,0.30000000000000004,834,0.28295703058957256,0.20863309352517986
temporal_holdout,Session-preserving time-ordered holdout,knn,4,0.30000000000000004,0.4,62,0.3146655062286212,0.3387096774193548
temporal_holdout,Session-preserving time-ordered holdout,knn,5,0.4,0.5,766,0.42873767843618826,0.412532637075718
temporal_holdout,Session-preserving time-ordered holdout,knn,6,0.5,0.6000000000000001,860,0.5711659291073474,0.6058139534883721
temporal_holdout,Session-preserving time-ordered holdout,knn,7,0.6000000000000001,0.7000000000000001,60,0.6831847616560031,0.7166666666666667
temporal_holdout,Session-preserving time-ordered holdout,knn,8,0.7000000000000001,0.8,948,0.7164577243136134,0.7784810126582279
temporal_holdout,Session-preserving time-ordered holdout,knn,9,0.8,0.9,1267,0.8580085908350077,0.9005524861878453
temporal_holdout,Session-preserving time-ordered holdout,knn,10,0.9,1.0,2005,1.0,0.971571072319202
temporal_holdout,Session-preserving time-ordered holdout,naive_bayes,1,0.0,0.1,3865,0.002876285509124711,0.08486416558861579
temporal_holdout,Session-preserving time-ordered holdout,naive_bayes,2,0.1,0.2,97,0.14518648410856339,0.1958762886597938
