edge_id,source_node_id,target_node_id,edge_type,graph_view,is_directed,edge_weight,measurement_id,session_id,source_column,source_value,context_family,source_measurement_id,target_measurement_id,source_service_degraded,target_service_degraded,row_count,support_fraction,degraded_count,degradation_rate,baseline_degradation_rate,degradation_lift,source_context_family,target_context_family,source_dataset,metric,non_missing_count,non_missing_fraction,comparison_status,recommended_use,claim_scope,reference_dataset,comparison_context,median_difference,wasserstein_distance,ks_statistic,comparison_scope,source_label,target_label
edge_b69421e7a62ece0e6c,context_cooccurrence:context_value:obstruction_low:6baf2e76a3c7,context_cooccurrence:context_value:tower_load_light:a96b7363a32b,context_cooccurs,context_cooccurrence,False,10789.0,,,,,,,,,,10789.0,0.21578,3704.0,0.3433126332375568,0.50716,0.6769316058789273,obstruction,tower_load,,,,,,,,,,,,,,obstruction=Low,tower_load=Light
edge_16eb4910255b35120e,context_cooccurrence:context_value:application_call:285b8de10ee6,context_cooccurrence:context_value:radio_band_n77:72cd438a800f,context_cooccurs,context_cooccurrence,False,1048.0,,,,,,,,,,1048.0,0.02096,355.0,0.3387404580152672,0.50716,0.6679163538434955,application,radio_band,,,,,,,,,,,,,,application=Call,radio_band=n77
edge_35045413e1510345f4,context_cooccurrence:context_value:congestion_low:dc6f30abc825,context_cooccurrence:context_value:time_bin_evening:e2cb1b063e48,context_cooccurs,context_cooccurrence,False,915.0,,,,,,,,,,915.0,0.0183,309.0,0.3377049180327869,0.50716,0.6658745130388573,congestion,time_bin,,,,,,,,,,,,,,congestion=Low,time_bin=evening
edge_a650a5596386e1c834,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_cooccurs,context_cooccurrence,False,4456.0,,,,,,,,,,4456.0,0.08912,1503.0,0.3372980251346499,0.50716,0.6650722161342572,application,network_type,,,,,,,,,,,,,,application=Browse,network_type=5G SA
edge_a41b32e42da0a5f18d,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurs,context_cooccurrence,False,502.0,,,,,,,,,,502.0,0.01004,168.0,0.3346613545816733,0.50716,0.6598733231754738,application,radio_band,,,,,,,,,,,,,,application=Browse,radio_band=n41
edge_045a9de4396eae0562,context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_cooccurrence:context_value:obstruction_low:6baf2e76a3c7,context_cooccurs,context_cooccurrence,False,5301.0,,,,,,,,,,5301.0,0.10602,1773.0,0.3344651952461799,0.50716,0.6594865431938243,application,obstruction,,,,,,,,,,,,,,application=Browse,obstruction=Low
edge_778c18b4d23a35a220,context_cooccurrence:context_value:congestion_low:dc6f30abc825,context_cooccurrence:context_value:infrastructure_severely_degraded:b1e30b31d54a,context_cooccurs,context_cooccurrence,False,456.0,,,,,,,,,,456.0,0.00912,152.0,0.3333333333333333,0.50716,0.6572547782422377,congestion,infrastructure,,,,,,,,,,,,,,congestion=Low,infrastructure=Severely_Degraded
edge_68c2da3ab772f14085,context_cooccurrence:context_value:infrastructure_severely_degraded:b1e30b31d54a,context_cooccurrence:context_value:radio_band_n79:b85c8ced654f,context_cooccurs,context_cooccurrence,False,30.0,,,,,,,,,,30.0,0.0006,10.0,0.3333333333333333,0.50716,0.6572547782422377,infrastructure,radio_band,,,,,,,,,,,,,,infrastructure=Severely_Degraded,radio_band=n79
edge_cc5b5c8421245f1826,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurrence:context_value:tower_load_moderate:ff95aa01d274,context_cooccurs,context_cooccurrence,False,604.0,,,,,,,,,,604.0,0.01208,201.0,0.3327814569536423,0.50716,0.656166608079585,radio_band,tower_load,,,,,,,,,,,,,,radio_band=n41,tower_load=Moderate
edge_eeaf0b56cb34a1d986,context_cooccurrence:context_value:congestion_low:dc6f30abc825,context_cooccurrence:context_value:time_bin_afternoon:e0d493798a7a,context_cooccurs,context_cooccurrence,False,2353.0,,,,,,,,,,2353.0,0.04706,776.0,0.3297917552061198,0.50716,0.65027162080235,congestion,time_bin,,,,,,,,,,,,,,congestion=Low,time_bin=afternoon
